ID,INCIDENT,PENALTY,VICTIM,SCORE,LOCATION,COUNTRY,DATE,WHEN,MOON_NIGHT_BEFORE
1,bite,Suspended for several games,forward,Losing,his team penalty area,Netherlands,1/23/2009,24,Full
2,not bite,Suspended for several games,referee,Draw at a time,opponent team penalty area,Uruguay,7/20/2005,91,No Moon
3,not bite,Red Card,forward,Winning,his team penalty area,Netherlands,5/5/2011,78,Full
4,not bite,None,None,Winning,No location,Uruguay,5/27/1994,91,Half
5,not bite,Red Card,forward,Draw at a time,opponent team penalty area,England,12/10/2013,29,Full
6,bite,yellow card,midfielder,Losing,his team penalty area,Uruguay,1/22/2003,33,Half
7,not bite,None,forward,Winning,his team penalty area,Uruguay,5/23/2002,51,Full
8,not bite,Not Caught,midfielder,Draw at a time,opponent team penalty area,Netherlands,5/6/2009,52,Half
9,not bite,None,None,Winning,No location,Uruguay,7/4/2003,91,No Moon
10,not bite,None,journalist,Draw at a time,off field,Uruguay,3/27/1996,73,No Moon
11,bite,None,journalist,Losing,off field,Uruguay,6/5/2005,15,Full
12,not bite,Not Caught,journalist,Draw at a time,off field,Uruguay,3/21/2004,86,No Moon
13,bite,Suspended for several games,None,Losing,No location,Uruguay,6/17/2007,88,Full
14,not bite,None,None,Winning,No location,Netherlands,2/12/2007,91,Half
15,not bite,yellow card,spectator,Winning,off field,Uruguay,12/2/1995,52,Half
16,not bite,None,None,Winning,No location,Uruguay,12/13/1999,91,No Moon
17,bite,Yellow card,defender,Losing,off field,Uruguay,7/10/1994,12,Half
18,bite,Yellow card,defender,Losing,off field,Netherlands,10/12/2013,32,Full
19,bite,Suspended for several games,journalist,Winning,opponent team penalty area,Netherlands,9/3/1996,4,Full
20,not bite,Red Card,goalkeeper,Winning,off field,Netherlands,10/11/2008,26,No Moon
21,not bite,Not Caught,forward,Draw at a time,opponent team penalty area,Uruguay,1/31/1999,3,Full
22,not bite,None,None,Winning,No location,Netherlands,3/5/2014,91,Half
23,bite,Yellow card,midfielder,Draw at a time,off field,Netherlands,3/21/2009,84,Full
24,bite,None,defender,Draw at a time,midfield,Netherlands,4/12/2005,0,Full
25,not bite,Red Card,goalkeeper,Winning,his team penalty area,Netherlands,5/24/2012,10,Half
26,not bite,Not Caught,referee,Draw at a time,his team penalty area,Uruguay,8/30/1996,82,No Moon
27,not bite,Yellow card,midfielder,Draw at a time,midfield,Uruguay,6/6/2004,89,Full
28,not bite,Yellow card,journalist,Winning,off field,Uruguay,10/31/2004,62,Full
29,bite,Red Card,None,Losing,No location,Netherlands,8/7/1999,88,Half
30,bite,Not Caught,referee,Losing,opponent team penalty area,Netherlands,1/1/2008,90,Half
31,bite,Yellow card,goalkeeper,Losing,opponent team penalty area,Uruguay,4/16/1993,88,Full
32,bite,Not Caught,journalist,Losing,off field,Uruguay,11/26/1992,30,Half
33,not bite,None,None,Winning,No location,Netherlands,10/31/2006,91,Half
34,bite,Suspended for several games,goalkeeper,Losing,opponent team penalty area,England,6/30/2007,87,No Moon
35,not bite,Yellow card,defender,Draw at a time,his team penalty area,Netherlands,8/7/2008,82,Full
36,not bite,Not Caught,forward,Draw at a time,midfield,Netherlands,6/30/2007,59,Half
37,not bite,Suspended for several games,defender,Winning,off field,Uruguay,5/25/2005,80,No Moon
38,bite,Not Caught,journalist,Winning,No location,Uruguay,4/6/2004,77,Full
39,not bite,Yellow card,referee,Winning,his team penalty area,Uruguay,4/19/1997,4,Half
40,bite,Not Caught,spectator,Draw at a time,off field,Uruguay,2/8/2006,49,Half
41,bite,Yellow card,defender,Losing,opponent team penalty area,Uruguay,8/10/2006,40,Half
42,not bite,Red Card,defender,Draw at a time,off field,Uruguay,1/10/1996,44,Half
43,not bite,yellow card,forward,Winning,opponent team penalty area,Uruguay,3/2/1995,48,Half
44,bite,Not Caught,None,Losing,midfield,Uruguay,3/29/2003,84,Half
45,not bite,yellow card,defender,Losing,off field,Uruguay,1/28/2001,79,No Moon
46,bite,Red Card,defender,Losing,opponent team penalty area,Netherlands,8/13/2012,90,Half
47,not bite,None,journalist,Winning,off field,Netherlands,8/24/2007,79,No Moon
48,not bite,None,spectator,Winning,off field,Netherlands,4/13/2011,90,Half
49,not bite,yellow card,midfielder,Draw at a time,opponent team penalty area,Netherlands,1/13/2008,43,No Moon
50,not bite,Not Caught,midfielder,Draw at a time,his team penalty area,Uruguay,3/22/2002,3,Full
51,not bite,yellow card,spectator,Winning,off field,Netherlands,1/8/2012,62,Half
52,bite,Red Card,journalist,Losing,off field,Uruguay,3/26/1999,91,Full
53,bite,Yellow card,referee,Draw at a time,midfield,Uruguay,2/13/1993,87,Full
54,bite,Red Card,defender,Losing,No location,Netherlands,1/3/2000,83,No Moon
55,not bite,Red Card,journalist,Winning,off field,Uruguay,3/12/2006,24,Half
56,bite,None,goalkeeper,Losing,midfield,Uruguay,10/18/1995,39,Half
57,not bite,yellow card,referee,Winning,off field,Netherlands,12/19/2007,53,No Moon
58,bite,None,spectator,Losing,off field,Netherlands,7/29/2007,41,Full
59,not bite,None,None,Winning,No location,Uruguay,5/21/2004,91,No Moon
